user_id,when,lat,lon
2,2013-03-09 22:40:00,42.4482897,-76.4888797
2,2013-03-09 22:45:00,42.4488153,-76.4886916
2,2013-03-09 22:50:00,42.448279,-76.4888489
2,2013-03-09 22:55:00,42.4487977,-76.4886502
2,2013-03-09 23:00:00,42.4488301,-76.4886771
2,2013-03-09 23:05:00,42.4488096,-76.4886718
2,2013-03-09 23:10:00,42.4488236,-76.4886845
2,2013-03-09 23:15:00,42.4484305,-76.4888113
2,2013-03-09 23:20:00,42.4482673,-76.4888764
2,2013-03-09 23:25:00,42.4488105,-76.4887105
2,2013-03-09 23:30:00,42.4488142,-76.4886998
2,2013-03-09 23:35:00,42.4488112,-76.4886674
2,2013-03-09 23:40:00,42.4488031,-76.4886592
2,2013-03-09 23:45:00,42.4488063,-76.4886655
2,2013-03-09 23:50:00,42.4488268,-76.4886938
2,2013-03-09 23:55:00,42.4482698,-76.488879
